PERIODO_ACADEMICO,E_PRGM_ACADEMICO,E_PRGM_DEPARTAMENTO,E_VALORMATRICULAUNIVERSIDAD,E_HORASSEMANATRABAJA,F_ESTRATOVIVIENDA,F_TIENEINTERNET,F_EDUCACIONPADRE,F_TIENELAVADORA,F_TIENEAUTOMOVIL,E_PRIVADO_LIBERTAD,E_PAGOMATRICULAPROPIO,F_TIENECOMPUTADOR,F_EDUCACIONMADRE,RENDIMIENTO_GLOBAL,INDICADOR_1,INDICADOR_2,INDICADOR_3,INDICADOR_4
1970-01-01 00:00:00.000020212,300,4,5.0,1,3.0,1,5.0,1,1,0.0,0,1,9.0,2,0.322,0.208,0.31,0.267
1970-01-01 00:00:00.000020212,249,3,3.0,0,3.0,0,6.0,1,0,0.0,0,1,5.0,0,0.311,0.215,0.292,0.264
1970-01-01 00:00:00.000020203,819,4,3.0,4,3.0,1,4.0,1,0,0.0,0,0,4.0,0,0.297,0.214,0.305,0.264
1970-01-01 00:00:00.000020195,14,26,4.0,0,4.0,1,4.0,1,0,0.0,0,1,4.0,3,0.485,0.172,0.252,0.19
1970-01-01 00:00:00.000020212,907,1,3.0,3,3.0,1,2.0,1,1,0.0,0,1,2.0,1,0.316,0.232,0.285,0.294
1970-01-01 00:00:00.000020203,811,1,6.0,1,5.0,1,8.0,1,1,0.0,0,1,4.0,2,0.553,0.142,0.248,0.175
1970-01-01 00:00:00.000020183,455,16,3.0,3,2.0,1,7.0,1,1,0.0,1,1,6.0,3,0.242,0.299,0.267,0.308
1970-01-01 00:00:00.000020183,94,4,2.0,2,2.0,1,1.0,1,0,0.0,1,0,3.0,1,0.238,0.316,0.286,0.29
1970-01-01 00:00:00.000020212,452,3,5.0,1,1.0,1,4.0,1,1,0.0,1,1,7.0,1,0.147,0.407,0.212,0.328
1970-01-01 00:00:00.000020183,14,1,3.0,4,5.0,1,9.0,1,1,0.0,1,1,9.0,3,0.535,0.122,0.257,0.167
1970-01-01 00:00:00.000020203,907,27,2.0,2,1.0,1,6.0,1,0,0.0,0,1,3.0,0,0.151,0.399,0.241,0.292
1970-01-01 00:00:00.000020203,97,4,1.0,4,2.0,1,7.0,1,0,0.0,0,1,9.0,1,0.212,0.284,0.283,0.324
1970-01-01 00:00:00.000020183,362,4,3.0,4,3.0,1,4.0,1,1,0.0,0,1,2.0,1,0.285,0.249,0.278,0.289
1970-01-01 00:00:00.000020195,581,8,0.0,0,1.0,0,6.0,0,0,0.0,0,0,4.0,1,0.142,0.395,0.219,0.287
1970-01-01 00:00:00.000020195,773,14,1.0,2,3.0,1,4.0,1,0,0.0,1,1,3.0,1,0.293,0.239,0.303,0.266
1970-01-01 00:00:00.000020203,249,4,4.0,2,3.0,1,8.0,1,1,0.0,0,1,8.0,3,0.293,0.252,0.319,0.258
1970-01-01 00:00:00.000020203,194,5,4.0,2,1.0,1,2.0,0,0,0.0,0,1,1.0,2,0.154,0.379,0.225,0.282
1970-01-01 00:00:00.000020203,94,4,2.0,4,2.0,1,4.0,0,0,0.0,0,1,3.0,1,0.209,0.307,0.26,0.314
1970-01-01 00:00:00.000020183,154,1,0.0,4,1.0,0,1.0,0,0,0.0,1,1,1.0,3,0.153,0.388,0.217,0.287
1970-01-01 00:00:00.000020212,888,4,2.0,1,2.0,1,4.0,1,0,0.0,1,1,3.0,0,0.204,0.3,0.293,0.295
1970-01-01 00:00:00.000020203,800,28,2.0,1,2.0,1,7.0,1,0,0.0,0,1,7.0,3,0.213,0.3,0.265,0.301
1970-01-01 00:00:00.000020195,456,29,5.0,4,2.534134663675629,1,4.0,1,0,0.0,0,1,4.0,1,0.029,0.037,0.048,0.026
1970-01-01 00:00:00.000020203,943,29,2.0,2,1.0,0,1.0,0,0,0.0,1,0,2.0,0,0.137,0.407,0.215,0.304
1970-01-01 00:00:00.000020183,570,23,1.0,4,2.0,1,4.0,0,0,0.0,0,1,5.0,2,0.203,0.312,0.279,0.289
